Country,Location_,Life_expectancy,Drinking_Water,Hand_Washing,Safe_Sanitation
Spain,"[40.463667,-3.74922]",76.9,-,-,-
Sri Lanka,"[7.873054,80.771797]",69.1,-,13,-
Sudan,"[12.862807,30.217636]",71.5,56,72,25
Suriname,"[3.919305,-56.027783]",57.7,-,24,-
Swaziland,"[-26.522503,31.465866]",82.4,100,-,95
Sweden,"[60.128161,18.643501]",83.4,94,-,100
Switzerland,"[46.818188,8.227512]",72.7,-,83,-
Syrian Arab Republic,"[34.802075,38.996815]",69.5,55,73,-
Tajikistan,"[38.861034,71.276093]",77.7,-,85,26
Thailand,"[15.870032,100.992541]",69.6,-,28,-
Timor-Leste,"[-8.874217,125.727539]",64.3,20,17,9
Togo,"[8.619543,0.824782]",72.6,30,70,34
Tonga,"[-21.178986,-175.198242]",76.1,-,-,-
Trinidad and Tobago,"[10.691803,-61.222503]",77,79,84,81
Tunisia,"[33.886917,9.537499]",78.6,-,-,78
Turkey,"[38.963745,35.243322]",69.7,95,100,-
Turkmenistan,"[38.969719,59.556278]",66.7,17,23,-
Uganda,"[1.373333,32.290275]",73,89,-,72
Ukraine,"[48.379433,31.16558]",76.1,-,-,99
United Arab Emirates,"[23.424076,53.847818]",81.4,100,-,98
United Kingdom,"[55.378051,-3.435973]",67.3,-,48,26
United States,"[37.09024,-95.712891]",78.5,97,-,98
Uruguay,"[-32.522779,-55.765835]",77.1,-,-,-
Uzbekistan,"[41.377491,64.585262]",73,59,-,-
Vanuatu,"[-15.376706,166.959158]",65.3,-,-,-
Venezuela (Bolivarian Republic of),"[6.42375,-66.58973]",73.9,-,-,23
Viet Nam,"[14.058324,108.277199]",73.7,-,86,-
Yemen,"[15.552727,48.516388]",66.6,-,-,19
Zambia,"[-13.133897,27.849332]",62.5,-,18,-
Zimbabwe,"[-19.015438,29.154857]",60.7,30,42,26
